$id	$permissions	$createdAt	$updatedAt	book	category	episode	fileName	uploaded_at	fileId	bookOrder	categoryOrder	updated_at	episodeOrder	users
68fe7d04000ae71ed5da	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T19:56:52.944+00:00	2025-10-26T19:56:52.944+00:00	במדבר	תורה	מטות	תורה-במדבר-מטות.json	2025-10-26T19:56:52.174+00:00	68fe7d02003dc33bf4b1	4	1	null	9	679fa2f8002b800614ce
68fe7d1e0026a037a057	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T19:57:19.308+00:00	2025-10-26T19:57:19.308+00:00	במדבר	תורה	מסעי	תורה-במדבר-מסעי.json	2025-10-26T19:57:18.618+00:00	68fe7d1d0013323ff115	4	1	null	10	679fa2f8002b800614ce
68fe7d63003a95b09960	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T19:58:28.627+00:00	2025-10-26T19:58:28.627+00:00	דברים	תורה	ואתחנן	תורה-דברים-ואתחנן.json	2025-10-26T19:58:27.937+00:00	68fe7d63000183667ace	5	1	null	12	679fa2f8002b800614ce
68fe7d75002265669cbd	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T19:58:46.244+00:00	2025-10-26T19:58:46.244+00:00	דברים	תורה	עקב	תורה-דברים-עקב.json	2025-10-26T19:58:45.550+00:00	68fe7d74002aec9b516a	5	1	null	13	679fa2f8002b800614ce
68fe7df9002861994385	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T20:00:58.333+00:00	2025-10-26T20:00:58.333+00:00	דברים	תורה	ראה	תורה-דברים-ראה.json	2025-10-26T20:00:57.646+00:00	68fe7df800261e2ed98e	5	1	null	14	679fa2f8002b800614ce
68fe7e17003c469cb9f3	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T20:01:28.637+00:00	2025-10-26T20:01:28.637+00:00	דברים	תורה	שופטים	תורה-דברים-שופטים.json	2025-10-26T20:01:27.964+00:00	68fe7e170002b771f096	5	1	null	15	679fa2f8002b800614ce
68fe7e290036c11b08df	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T20:01:46.548+00:00	2025-10-26T20:01:46.548+00:00	דברים	תורה	כי תצא	תורה-דברים-כי תצא.json	2025-10-26T20:01:45.876+00:00	68fe7e28002f039304a7	5	1	null	16	679fa2f8002b800614ce
68fe7e3d0014d3cc4619	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T20:02:06.007+00:00	2025-10-26T20:02:06.007+00:00	דברים	תורה	כי תבוא	תורה-דברים-כי תבוא.json	2025-10-26T20:02:05.333+00:00	68fe7e3c0012bc58ed9a	5	1	null	17	679fa2f8002b800614ce
68fe7e5a00136f460186	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T20:02:35.006+00:00	2025-10-26T20:02:35.006+00:00	דברים	תורה	נצבים	תורה-דברים-נצבים.json	2025-10-26T20:02:34.310+00:00	68fe7e590006e78d4aa6	5	1	null	18	679fa2f8002b800614ce
68fe7e6c003b057a8df4	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T20:02:53.615+00:00	2025-10-26T20:02:53.615+00:00	דברים	תורה	וילך	תורה-דברים-וילך.json	2025-10-26T20:02:52.944+00:00	68fe7e6c0009454a64ab	5	1	null	19	679fa2f8002b800614ce
68fe7e8a000edbb0bd32	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T20:03:22.934+00:00	2025-10-26T20:03:22.934+00:00	דברים	תורה	האזינו	תורה-דברים-האזינו.json	2025-10-26T20:03:22.237+00:00	68fe7e88003a2a019857	5	1	null	20	679fa2f8002b800614ce
68fe7e9e00264eb61f20	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2025-10-26T20:03:43.314+00:00	2025-10-26T20:03:43.314+00:00	דברים	תורה	וזאת הברכה	תורה-דברים-וזאת הברכה.json	2025-10-26T20:03:42.612+00:00	68fe7e9d002133e770f7	5	1	null	21	679fa2f8002b800614ce
697743af00121d299abd	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2026-01-26T10:36:33.233+00:00	2026-01-26T10:36:33.233+00:00	שופטים	נביאים	שופטים	נביאים-שופטים-שופטים.json	2026-01-26T10:36:31.289+00:00	697743ae000d0299e5a7	2	2	null	1	679fa2f8002b800614ce
6977c873000f221530a2	"[""read(\""user:679fa2f8002b800614ce\"")"",""update(\""user:679fa2f8002b800614ce\"")"",""delete(\""user:679fa2f8002b800614ce\"")""]"	2026-01-26T20:02:59.712+00:00	2026-01-26T20:02:59.712+00:00	יהושע	נביאים	יהושע	נביאים-יהושע-יהושע.json	2026-01-26T20:02:59.242+00:00	6977c872000a457a244b	1	2	null	1	679fa2f8002b800614ce
